date,total_calls,dayofweek,month,is_weekend,is_holiday,lag1,rolling7_mean,rolling7_std
2025-01-21,13179,1,1,False,False,8968.0,9393.285714285714,1898.6605554342639
2025-01-22,13080,2,1,False,False,13179.0,9879.57142857143,2362.4171842375763
2025-01-23,10956,3,1,False,False,13080.0,10043.42857142857,2396.2423261670206
2025-01-24,11806,4,1,False,False,10956.0,10445.42857142857,2426.3069232301045
2025-01-25,8371,5,1,True,False,11806.0,10548.57142857143,2299.658080175037
2025-01-26,7493,6,1,True,False,8371.0,10550.42857142857,2296.770403352137
2025-01-27,9368,0,1,False,False,7493.0,10607.57142857143,2255.44251808398
2025-01-28,9213,1,1,False,False,9368.0,10041.0,1983.5863143979175
2025-01-29,8524,2,1,False,False,9213.0,9390.142857142857,1511.5197019965872
2025-01-30,9161,3,1,False,False,8524.0,9133.714285714286,1344.6473780990357
2025-01-31,8517,4,1,False,False,9161.0,8663.857142857143,650.9384068587798
2025-02-01,7813,5,2,True,False,8517.0,8584.142857142857,722.9611397052026
2025-02-02,7986,6,2,True,False,7813.0,8654.57142857143,614.8845032857708
2025-02-03,8744,0,2,False,False,7986.0,8565.42857142857,534.1488110826314
2025-02-04,9798,1,2,False,False,8744.0,8649.0,678.5872579607606
2025-02-05,9223,2,2,False,False,9798.0,8748.857142857143,707.9235901732951
2025-02-06,8434,3,2,False,False,9223.0,8645.0,690.4954742791854
2025-02-07,8520,4,2,False,False,8434.0,8645.42857142857,690.4037121237999
2025-02-08,7703,5,2,True,False,8520.0,8629.714285714286,713.3780471077554
2025-02-09,7957,6,2,True,False,7703.0,8625.57142857143,717.8098302342962
2025-02-10,9587,0,2,False,False,7957.0,8746.0,806.2571963503362
2025-02-11,8572,1,2,False,False,9587.0,8570.857142857143,659.4380002627332
2025-02-12,8565,2,2,False,True,8572.0,8476.857142857143,594.7048087276958
2025-02-13,8952,3,2,False,False,8565.0,8550.857142857143,620.1659532124008
2025-02-14,8526,4,2,False,False,8952.0,8551.714285714286,620.1203416235224
2025-02-15,7372,5,2,True,True,8526.0,8504.42857142857,702.7391306269499
2025-02-16,7209,6,2,True,False,7372.0,8397.57142857143,842.7713919252677
2025-02-17,8745,0,2,False,True,7209.0,8277.285714285714,691.1665776752164
2025-02-18,10132,1,2,False,False,8745.0,8500.142857142857,989.2521465854115
2025-02-19,10946,2,2,False,False,10132.0,8840.285714285714,1356.4567463660399
2025-02-20,9532,3,2,False,False,10946.0,8923.142857142857,1381.8936800120268
2025-02-21,8737,4,2,False,False,9532.0,8953.285714285714,1374.0661937337459
2025-02-22,8395,5,2,True,False,8737.0,9099.42857142857,1224.0684699181086
2025-02-23,8634,6,2,True,False,8395.0,9303.0,943.6521251676255
2025-02-24,9533,0,2,False,False,8634.0,9415.57142857143,912.4788321093608
2025-02-25,9103,1,2,False,False,9533.0,9268.57142857143,859.1540135782762
2025-02-26,8493,2,2,False,False,9103.0,8918.142857142857,475.5727874789652
2025-02-27,8370,3,2,False,False,8493.0,8752.142857142857,425.7864991485491
2025-02-28,8280,4,2,False,False,8370.0,8686.857142857143,461.9918572772793
2025-03-01,7802,5,3,True,False,8280.0,8602.142857142857,566.8884159960487
2025-03-02,8120,6,3,True,False,7802.0,8528.714285714286,594.6819077696947
2025-03-03,9092,0,3,False,False,8120.0,8465.714285714286,483.5282529786683
2025-03-04,8743,1,3,False,False,9092.0,8414.285714285714,419.33229237515496
2025-03-05,8567,2,3,False,False,8743.0,8424.857142857143,422.567717875499
2025-03-06,9273,3,3,False,False,8567.0,8553.857142857143,527.7674451787532
2025-03-07,8924,4,3,False,False,9273.0,8645.857142857143,528.2030634050782
2025-03-08,8799,5,3,True,False,8924.0,8788.285714285714,374.9105290091739
2025-03-09,6958,6,3,True,False,8799.0,8622.285714285714,769.6097959974724
2025-03-10,8886,0,3,False,False,6958.0,8592.857142857143,752.4013619896248
2025-03-11,9210,1,3,False,False,8886.0,8659.57142857143,787.8043025064363
2025-03-12,8771,2,3,False,False,9210.0,8688.714285714286,787.5823161815778
2025-03-13,8804,3,3,False,False,8771.0,8621.714285714286,748.5756951896079
2025-03-14,8494,4,3,False,False,8804.0,8560.285714285714,737.1921310589736
2025-03-15,7993,5,3,True,False,8494.0,8445.142857142857,756.3880019697833
2025-03-16,7015,6,3,True,False,7993.0,8453.285714285714,737.7880712611652
2025-03-17,9570,0,3,False,False,7015.0,8551.0,842.5121166290127
2025-03-18,9035,1,3,False,False,9570.0,8526.0,822.0462274106197
2025-03-19,8767,2,3,False,False,9035.0,8525.42857142857,821.8489028085706
2025-03-20,8167,3,3,False,False,8767.0,8434.42857142857,821.1288687213785
2025-03-21,8585,4,3,False,False,8167.0,8447.42857142857,822.9475190117843
2025-03-22,7745,5,3,True,False,8585.0,8412.0,850.6438737803452
2025-03-23,7836,6,3,True,False,7745.0,8529.285714285714,661.4939441108063
2025-03-24,8303,0,3,False,False,7836.0,8348.285714285714,476.83635008453035
